country,date,population_density,total_population,urban_population_pct,fertility_rate,age_dependency_ratio,life_expectancy,infant_mortality,gdp_per_capita,gross_capital_form_pct,inflation_rate,trade_pct_gdp,fdi_inflows_pct,country-year,gdp_growth,country_code
Brazil,1998,20.2389114085191,0.1149179274628943,79.781,2.418,56.2482765408734,68.848,33.0,0.05213136748352311,18.1647519194741,3.1950762928005,16.4385849312059,3.34088809328503,Brazil 1998,-3.651459477663155,1
Brazil,1999,20.5358540297243,0.11666650526936247,80.496,2.335,55.0763984272951,69.211,31.0,0.035015334532144546,17.3895597435179,4.85844749902667,20.9821664782285,4.73377022686194,Brazil 1999,-31.57763006973221,1
Brazil,2000,20.8202162203552,0.11834100188934184,81.192,2.247,53.9320341342569,69.584,29.1,0.037913193774976504,18.9031192683871,7.04414105947266,22.6397613567941,5.03391680528314,Brazil 2000,7.813679489471648,1
Brazil,2001,21.0933536648106,0.11994940041277245,81.553,2.162,52.8183017276819,69.98,27.3,0.031647134752244815,18.7418602950836,6.84035902487524,26.936285022064,4.14759377398385,Brazil 2001,-15.671079705251856,1
Brazil,2002,21.3568430296693,0.12150098520636772,81.88,2.081,51.7532497132855,70.396,25.5,0.02824637741657485,17.4490794834956,8.45016437708332,27.6183574022309,3.25358061271527,Brazil 2002,-10.085641846943961,1
Brazil,2003,21.610392742883,0.12299403931750351,82.203,2.006,50.7500013938033,70.884,23.9,0.03073754952111469,16.8566884007152,14.7149197228147,28.1403847231593,1.81340052439304,Brazil 2003,8.216797459671987,1
Brazil,2004,21.8559563491399,0.12444006639921494,82.521,1.973,49.832060271032,71.361,22.4,0.03682268822072093,17.9125683422575,6.59718509985963,29.6782524787535,2.71353166307823,Brazil 2004,18.54704194066079,1
Brazil,2005,22.0967943824822,0.12585826644859371,82.834,1.942,49.0129699418087,71.832,21.0,0.04917901981205114,17.2048834494962,6.86953720898965,27.0867952043315,1.73389354602718,Brazil 2005,31.768960534861023,1
Brazil,2006,22.3318951345634,0.12724268191480292,83.143,1.896,48.2684711339596,72.296,19.7,0.06092392937836258,17.8164738793472,4.18356812896909,26.04169989179,1.753125703626,Brazil 2006,22.91659068711298,1
Brazil,2007,22.5591243984906,0.1285807452964437,83.448,1.854,47.5826124507755,72.73,18.6,0.07658801222014096,19.8193259830854,3.64127299102653,25.2926113755394,3.19082601308524,Brazil 2007,24.86536257171288,1
Brazil,2008,22.7762758221327,0.12985946425730704,83.749,1.815,46.9295922668047,73.111,17.6,0.09249725448627658,21.6193828541669,5.67859390284167,27.257569417356,2.99060946922903,Brazil 2008,20.22541016370849,1
Brazil,2009,22.9811837322658,0.13106608600319966,84.044,1.799,46.3061674570182,73.457,16.7,0.09005910057533476,18.796135029807,4.88803479876799,22.1059756060333,1.88848224095724,Brazil 2009,-2.578176778409602,1
Brazil,2010,23.175243415401,0.13220882682525917,84.335,1.786,45.7187256688073,73.779,16.0,0.11898310673299725,21.8013215585586,5.03872690108075,22.772178113177,3.73001288350945,Brazil 2010,31.394514209356394,1
Brazil,2011,23.3646162902273,0.13332396888443623,84.631,1.777,45.1609994407706,74.047,15.3,0.14014399575626882,21.8262711166856,6.63644962213086,23.9344051758721,3.91518011405433,Brazil 2011,17.480425425512223,1
Brazil,2012,23.555014752086,0.13444515022054968,84.923,1.766,44.6429009356262,74.335,14.8,0.13085621510517612,21.4172253691912,5.40349914037005,25.1142736107398,3.75496285641218,Brazil 2012,-6.530772088796022,1
Brazil,2013,23.7467066835444,0.13557394828822625,85.209,1.761,44.1751173479507,74.609,14.4,0.13018922397790444,21.6937669568432,6.20431066640096,25.7859573274674,3.04150901624338,Brazil 2013,-0.5017691765300536,1
Brazil,2014,23.93895376244,0.13670601539988142,85.492,1.775,43.8183703322034,74.823,14.0,0.12823701068684132,20.5484107553739,6.32904015516141,24.6854058131291,3.57135266957477,Brazil 2014,-1.4760321908911633,1
